Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANTC3216X140N,1,2450AT18A100E,
C1,0603,1,10u,
C10,0201,1,C,
C11,0603,1,10u,
C12,0402,1,1u,
C13,0402,1,100n,
C14,0402,1,100n,
C15,0402,1,1u,
C16,0402,1,100n,
C17,0402,1,100n,
C18,0402,1,100n,
C2,0603,1,10u,
C3,0201,1,15p,
C4,0201,1,15p,
C5,0402,1,100n,
C6,0402,1,100n,
C7,0402,1,100n,
C8,0402,1,100n,
C9,0201,1,C,
D1,0402,1,LED,
IC1,QFN40P700X700X90-57N-D,1,ESP32-S2FH4,
J1,USB_PCB,1,USB_A,
L1,0201,1,L,
R1,0201,1,0,
R2,0402,1,2k,
R3,0201,1,10k,
R4,0402,1,10k,
"S1, S2",SKRPABE010,2,SKRPABE010,
U1,SON40P120X120X60-7N-D,1,MIC5528-3.3YMT-T5,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24_Small,
