Designator,Mid X,Mid Y,Rotation,Layer
ANT1,5.205,-17.225,0.0,bottom
C1,6.73,-0.725,0.0,bottom
C10,3.205,-13.125,180.0,bottom
C11,1.105,-14.0,270.0,bottom
C12,1.105,-11.825,135.0,bottom
C13,2.305,-11.825,135.0,bottom
C14,7.805,-4.125,315.0,bottom
C15,9.005,-4.125,315.0,bottom
C16,5.805,-16.925,270.0,top
C17,1.105,-5.625,225.0,bottom
C18,3.544411,-3.285589,45.0,bottom
C2,9.505,-1.525,90.0,bottom
C3,7.255,-14.825,315.0,bottom
C4,9.305,-14.725,225.0,bottom
C5,9.444411,-10.385589,225.0,bottom
C6,5.705,-14.125,270.0,bottom
C7,8.844411,-11.664411,315.0,bottom
C8,4.705,-14.125,270.0,bottom
C9,3.205,-15.025,180.0,bottom
D1,4.605,-16.925,90.0,top
IC1,5.205,-8.075,45.0,bottom
J1,5.205,-11.225,0.0,top
L1,3.505,-14.075,90.0,bottom
R1,7.105,-12.625,90.0,bottom
R2,4.605,-14.395,270.0,top
R3,2.405,-4.325,45.0,bottom
R4,5.805,-14.425,270.0,top
S1,8.405,-15.225,270.0,top
S2,2.105,-15.225,270.0,top
U1,7.605,-2.1,180.0,bottom
Y1,8.355,-13.725,45.0,bottom
