Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANTC3216X140N,1,2450AT18A100E,
"C1, C2",0603,2,2u2,
"C10, C9",0201,2,C,
C11,0603,1,10u,
"C12, C15",0402,2,1u,
"C13, C14, C16, C17, C18, C5, C6, C7, C8",0402,9,100n,
C19,0402,1,1p,
"C3, C4",0201,2,15p,
D1,0402,1,LED,
IC1,QFN40P700X700X90-57N-D,1,ESP32-S2FH4,
J1,USB_PCB,1,USB_A,
L1,0201,1,L,
L2,0402,1,2.7n,
L3,0402,1,3.9n,
R1,0201,1,0,
R2,0402,1,2k,
"R3, R4, R5, R6",0201,4,10k,
"S1, S2",B3U-1000P,2,SKRPABE010,
U1,SON40P120X120X60-7N-D,1,MIC5528-3.3YMT-T5,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24_Small,
