Designator,Mid X,Mid Y,Rotation,Layer
ANT1,6.105,-14.425,180.0,bottom
C1,0.705,-1.5,270.0,bottom
C10,3.505,-10.625,0.0,bottom
C11,1.405,-10.425,0.0,bottom
C12,0.605,-8.325,90.0,bottom
C13,1.405,-9.125,90.0,bottom
C14,7.803959,-2.397004,225.0,bottom
C15,9.003959,-2.397004,225.0,bottom
C16,5.705,-11.525,90.0,top
C17,1.005,-4.125,315.0,bottom
C18,2.105,-2.325,0.0,bottom
C19,2.305,-12.925,90.0,bottom
C2,7.305,-0.725,180.0,bottom
C3,7.555,-12.525,225.0,bottom
C4,9.605,-12.425,315.0,bottom
C5,9.44337,-8.225,315.0,bottom
C6,5.905,-11.825,270.0,bottom
C7,9.105,-9.425,180.0,bottom
C8,4.905,-11.825,270.0,bottom
C9,2.305,-11.725,0.0,bottom
D1,4.905,-11.54,270.0,top
IC1,5.203959,-6.120153,135.0,bottom
J1,5.205,-11.225,0.0,top
L1,3.505,-11.425,135.0,bottom
L2,1.805,-14.125,0.0,bottom
L3,3.105,-14.825,180.0,bottom
R1,7.380572,-10.525,90.0,bottom
R2,4.005,-11.525,270.0,top
R3,1.805,-3.125,180.0,bottom
R4,6.405,-11.525,270.0,top
R5,5.905,-9.725,0.0,top
R6,4.505,-9.725,180.0,top
S1,8.005,-12.125,90.0,top
S2,2.205,-12.125,90.0,top
U1,2.605,-1.0,0.0,bottom
Y1,8.655,-11.425,135.0,bottom
