Designator,Mid X,Mid Y,Rotation,Layer
C401,135.597143,-72.913563,90.0,bottom
C402,129.833143,-72.949563,90.0,bottom
C403,130.517143,-76.505563,180.0,bottom
D501,104.581143,-1.399563,0.0,top
D502,85.581143,1.100437,0.0,top
D503,66.481143,3.900437,0.0,top
D504,47.481143,1.100437,0.0,top
D505,28.481143,-3.799563,0.0,top
D506,9.381143,-3.799563,0.0,top
D507,9.381143,-22.899563,180.0,top
D508,28.381143,-22.899563,180.0,top
D509,47.481143,-17.999563,180.0,top
D510,66.581143,-15.499563,180.0,top
D511,85.581143,-17.999563,180.0,top
D512,104.581143,-20.499563,180.0,top
D513,104.581143,-39.599563,0.0,top
D514,85.481143,-37.099563,0.0,top
D515,66.481143,-34.599563,0.0,top
D516,47.481143,-37.099563,0.0,top
D517,28.381143,-41.999563,0.0,top
D518,9.381143,-41.899563,0.0,top
D519,9.381143,-60.999563,180.0,top
D520,28.481143,-60.999563,180.0,top
D521,47.481143,-56.099563,180.0,top
D522,66.581143,-53.599563,180.0,top
D523,85.581143,-56.099563,180.0,top
D524,104.581143,-58.599563,180.0,top
D525,124.381143,-87.299563,60.0,top
D526,108.581143,-79.899563,345.0,top
D527,85.581143,-75.099563,0.0,top
D528,66.481143,-72.599563,0.0,top
D529,47.481143,-75.099563,0.0,top
D530,127.850143,-53.899563,0.0,top
J201,129.551143,-7.929563,180.0,top
J202,129.551143,-7.929563,180.0,bottom
J301,125.417464,3.242943,180.0,top
J302,113.681143,2.900437,90.0,top
J303,132.081143,-32.699563,180.0,bottom
J304,126.031143,-44.599563,90.0,top
J305,126.031143,-44.599563,270.0,bottom
R201,113.081143,-0.999563,180.0,top
R202,122.881143,-11.899563,180.0,top
R303,122.881143,-2.399563,270.0,bottom
R304,127.481143,-1.799563,270.0,bottom
R305,136.681143,-17.999563,180.0,top
R306,136.681143,-15.999563,180.0,top
R401,133.946143,-72.949563,270.0,bottom
R402,134.708143,-72.949563,90.0,bottom
R403,131.533143,-72.949563,270.0,bottom
R404,130.733143,-72.949563,90.0,bottom
RN401,119.281143,-16.549563,270.0,bottom
RN402,119.281143,-36.099563,270.0,bottom
RN403,118.481143,-54.449563,270.0,bottom
RN404,118.481143,-74.599563,270.0,bottom
SW301,140.181143,-18.599563,90.0,top
SW401,104.581143,-6.149563,0.0,top
SW402,85.481143,-3.699563,0.0,top
SW403,66.481143,-0.899563,0.0,top
SW404,47.381143,-3.599563,0.0,top
SW405,28.381143,-8.499563,0.0,top
SW406,9.281143,-8.499563,0.0,top
SW407,9.356584,-27.604417,0.0,top
SW408,28.406584,-27.604417,0.0,top
SW409,104.581143,-25.199563,0.0,top
SW410,85.481143,-22.749563,0.0,top
SW411,66.481143,-20.199563,0.0,top
SW412,47.381143,-22.699563,0.0,top
SW413,9.281143,-46.749563,0.0,top
SW414,28.381143,-46.599563,0.0,top
SW415,47.381143,-41.699563,0.0,top
SW416,66.481143,-39.199563,0.0,top
SW417,104.581143,-44.199563,0.0,top
SW418,85.481143,-41.699563,0.0,top
SW419,9.281143,-65.699563,0.0,top
SW420,28.406584,-65.704417,0.0,top
SW421,47.456584,-60.804417,0.0,top
SW422,66.506584,-58.304417,0.0,top
SW423,85.556584,-60.804417,0.0,top
SW424,104.606584,-63.304417,0.0,top
SW425,47.456584,-79.854417,0.0,top
SW426,66.506584,-77.354417,0.0,top
SW427,85.556584,-79.854417,0.0,top
SW428,107.556584,-84.554417,345.0,top
SW429,128.446584,-89.554417,60.0,top
SW430,128.181143,-63.599563,180.0,top
TH201,75.791142,-31.999563,180.0,top
TH202,75.781143,-31.999563,0.0,bottom
U401,116.681143,-16.599563,270.0,top
U402,116.681143,-36.099563,270.0,top
U403,116.681143,-54.599563,270.0,top
U404,116.681143,-74.399563,270.0,top
U405,130.581143,-76.499563,180.0,top
