Designator,Mid X,Mid Y,Rotation,Layer
ANT401,173.4,-15.4,315.0,top
BT101,79.07,-18.0,180.0,top
C201,129.548008,-14.451992,45.0,top
C202,135.558415,-15.866206,315.0,top
C203,134.144202,-19.048186,225.0,top
C301,144.45,-22.500001,0.0,top
C302,144.45,-26.75,0.0,top
C303,140.224999,-22.5,0.0,top
C304,140.225,-26.75,0.0,top
C401,169.351643,-28.148414,225.0,top
C402,166.820201,-28.134272,315.0,top
C403,164.345327,-25.517977,225.0,top
C404,167.951572,-21.911732,45.0,top
C405,165.900962,-23.962342,225.0,top
C406,169.648628,-17.386249,315.0,top
C407,168.092993,-18.941884,315.0,top
C408,169.719339,-20.709651,315.0,top
C409,169.2,-15.0,90.0,top
C410,168.0,-16.3,90.0,top
C411,167.1,-17.1,90.0,top
C412,157.132838,-22.265286,225.0,top
C413,156.425731,-21.558179,225.0,top
C414,176.8,-20.6,0.0,top
C415,158.971316,-15.335639,135.0,top
C416,156.708574,-18.729752,225.0,top
D201,151.6,-25.5,90.0,top
D202,150.6,-25.5,90.0,top
D401,152.6,-25.5,90.0,top
D601,154.0,-52.25,0.0,top
D602,135.0,-52.25,0.0,top
D603,116.0,-49.75,0.0,top
D604,96.5,-47.25,0.0,top
D605,77.5,-49.75,0.0,top
D606,58.5,-54.75,0.0,top
D607,35.0,-54.75,0.0,top
D608,35.0,-73.75,180.0,top
D609,58.5,-73.75,180.0,top
D610,77.5,-68.75,180.0,top
D611,96.5,-66.25,180.0,top
D612,116.0,-68.75,180.0,top
D613,135.0,-71.25,180.0,top
D614,154.0,-71.25,180.0,top
D615,154.0,-90.25,0.0,top
D616,135.0,-90.25,0.0,top
D617,116.0,-87.75,0.0,top
D618,96.5,-85.25,0.0,top
D619,77.5,-87.75,0.0,top
D620,58.5,-92.75,0.0,top
D621,35.0,-92.75,0.0,top
D622,35.0,-111.75,180.0,top
D623,58.5,-111.75,180.0,top
D624,77.5,-106.75,180.0,top
D625,96.5,-104.25,180.0,top
D626,116.0,-106.75,180.0,top
D627,135.0,-109.25,180.0,top
D628,154.0,-109.25,180.0,top
D629,170.05,-126.25,150.0,top
D630,186.85,-135.95,150.0,top
D631,177.3,-152.55,150.0,top
D632,167.75,-169.1,330.0,top
D633,156.1,-150.95,330.0,top
D634,139.15,-141.05,330.0,top
D635,116.0,-125.75,0.0,top
D636,96.5,-123.25,0.0,top
D637,77.5,-125.75,0.0,top
D638,58.5,-130.75,0.0,top
D639,40.0,-130.75,0.0,top
D640,35.0,-32.3,180.0,top
J101,145.0,-9.6,180.0,top
J401,158.09,-9.0,90.0,top
J402,154.9,-8.820001,0.0,top
L401,168.658679,-17.951934,225.0,top
R101,142.5,-15.7,225.0,top
R102,147.5,-15.7,315.0,top
R201,133.613872,-13.568109,45.0,top
R202,134.320978,-14.275216,45.0,top
R203,132.906765,-12.861002,45.0,top
R204,135.395781,-17.471338,135.0,top
R205,151.6,-23.5,270.0,top
R206,150.6,-23.49,270.0,top
R207,127.957017,-17.81075,225.0,top
R301,144.574999,-20.5,0.0,top
R401,169.295075,-25.659398,135.0,top
R402,152.6,-23.5,270.0,top
R403,176.8,-19.6,180.0,top
R404,158.264209,-16.325589,315.0,top
R405,167.3,-21.9,135.0,bottom
R406,165.978266,-23.456048,135.0,bottom
R407,167.9,-21.3,315.0,bottom
R408,165.4,-24.0,315.0,bottom
RN501,172.5,-38.0,270.0,bottom
RN502,172.5,-55.9,270.0,bottom
RN503,172.5,-75.0,270.0,bottom
RN504,172.5,-94.0,270.0,bottom
RN505,178.0,-101.5,0.0,bottom
S401,176.8,-23.4,0.0,top
S402,176.8,-27.6,0.0,top
SW501,121.5,-27.1,90.0,top
SW502,35.0,-49.949999,180.0,top
SW503,58.5,-49.949999,180.0,top
SW504,77.5,-45.0,180.0,top
SW505,96.5,-42.5,180.0,top
SW506,116.0,-45.0,180.0,top
SW507,135.0,-47.449999,180.0,top
SW508,154.0,-47.5,180.0,top
SW509,35.0,-69.0,180.0,top
SW510,35.0,-88.0,180.0,top
SW511,58.5,-69.0,180.0,top
SW512,77.5,-63.949999,180.0,top
SW513,96.5,-61.5,180.0,top
SW514,116.0,-64.0,180.0,top
SW515,135.0,-66.5,180.0,top
SW516,154.0,-66.5,180.0,top
SW517,35.0,-107.0,180.0,top
SW518,58.5,-107.0,180.0,top
SW519,58.5,-88.0,180.0,top
SW520,77.5,-83.0,180.0,top
SW521,96.5,-80.5,180.0,top
SW522,116.0,-83.0,180.0,top
SW523,135.0,-85.5,180.0,top
SW524,154.0,-85.5,180.0,top
SW525,40.0,-126.0,180.0,top
SW526,58.5,-126.0,180.0,top
SW527,77.5,-121.0,180.0,top
SW528,77.5,-102.0,180.0,top
SW529,96.5,-99.5,180.0,top
SW530,116.0,-102.0,180.0,top
SW531,135.0,-104.5,180.0,top
SW532,154.0,-104.5,180.0,top
SW533,172.43,-122.17,150.0,top
SW534,170.051499,-165.0,150.0,top
SW535,179.652406,-148.5,150.0,top
SW536,189.25,-131.9,150.0,top
SW537,96.5,-118.5,180.0,top
SW538,116.0,-121.0,180.0,top
SW539,141.491499,-137.01,150.0,top
SW540,158.45,-146.86,150.0,top
U201,131.846105,-16.750089,315.0,top
U301,144.45,-24.655001,90.0,top
U302,140.225,-24.65,90.0,top
U401,162.648271,-20.143965,225.0,top
U501,170.0,-38.0,270.0,top
U502,170.0,-56.0,270.0,top
U503,170.0,-75.0,270.0,top
U504,170.0,-94.0,270.0,top
U505,178.0,-104.0,180.0,top
Y601,168.030837,-26.881581,135.0,top
