Designator,Footprint,Quantity,Value,LCSC Part #
"D301, D302, D303, D304, D305, D306, D307, D308, D309, D310, D311, D312, D313, D314, D315, D316, D317, D318, D319, D320, D321, D322, D323, D324, D325, D326, D327, D328, D329",YF923_2020_WS2812_LED_DUALSIDE,29,YF923_2020_WS2812_LED,
"J301, J302",PSoM_ESP32S2_00,2,PSoM_ESP32S2_Carrier_Board,
J303,USB4510031A,1,USB4510-03-1-A,
J304,SMD_CONN_01x5_1.5mm,1,Conn_01x05_Pin,
J305,5051101292,1,505110-1292,
J306,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal_DUALSIDE,1,S2B-PH-SM4-TB,
"R301, R302",0402,2,R,
"R303, R304",0402,2,5.1k,
"R305, R306",0402,2,0,
"RN301, RN302, RN303, RN304",EXB2HV_1,4,EXB-2HV103JV,
SW301,450405020524_DUALSIDE,1,450405020524,
"SW302, SW303, SW304, SW305, SW306, SW307, SW308, SW309, SW310, SW311, SW312, SW313, SW314, SW315, SW316, SW317, SW318, SW319, SW320, SW321, SW322, SW323, SW324, SW325, SW326, SW327, SW328, SW329, SW330",Kailh_socket_PG1350_reversible,29,SW_Push,
SW331,RIC11-22S10D5S-TH,1,RIC11-22S10D5S-TH,
"TH301, TH302",0402,2,Thermistor_NTC,
"TP101, TP102, TP103, TP104, TP105, TP106",TestPoint_Pad_D1.5mm,6,TestPoint,
"U301, U302, U303, U304",SOP65P640X120-16N,4,SN74HC165PWR,
