Designator,Mid X,Mid Y,Rotation,Layer
D301,185.9,-61.8,0.0,top
D302,166.9,-59.3,0.0,top
D303,147.8,-56.5,0.0,top
D304,128.8,-59.3,0.0,top
D305,109.8,-64.2,0.0,top
D306,90.7,-64.2,0.0,top
D307,90.7,-83.3,180.0,top
D308,109.7,-83.3,180.0,top
D309,128.8,-78.4,180.0,top
D310,147.9,-75.9,180.0,top
D311,166.9,-78.4,180.0,top
D312,185.9,-80.9,180.0,top
D313,185.9,-100.0,0.0,top
D314,166.8,-97.5,0.0,top
D315,147.8,-95.0,0.0,top
D316,128.8,-97.5,0.0,top
D317,109.7,-102.4,0.0,top
D318,90.7,-102.3,0.0,top
D319,90.7,-121.4,180.0,top
D320,109.8,-121.4,180.0,top
D321,128.8,-116.5,180.0,top
D322,147.9,-114.0,180.0,top
D323,166.9,-116.5,180.0,top
D324,185.9,-119.0,180.0,top
D325,205.7,-147.7,60.0,top
D326,189.9,-140.3,345.0,top
D327,166.9,-135.5,0.0,top
D328,147.8,-133.0,0.0,top
D329,128.8,-135.5,0.0,top
J301,210.868055,-68.328181,180.0,bottom
J302,210.868055,-68.328181,180.0,top
J303,206.736321,-56.507494,180.0,top
J304,214.624,-107.6,90.0,top
J305,215.1,-107.6,270.0,bottom
J306,213.5,-94.751063,0.0,bottom
R301,194.4,-61.4,0.0,bottom
R302,207.9,-71.7,270.0,top
R303,204.2,-62.8,270.0,bottom
R304,208.8,-62.2,270.0,bottom
R305,218.0,-78.4,180.0,top
R306,218.0,-76.4,180.0,top
RN301,199.8,-76.95,270.0,bottom
RN302,199.8,-96.4625,270.0,bottom
RN303,199.8,-114.85,270.0,bottom
RN304,199.8,-135.0,270.0,bottom
SW301,221.5,-79.0,90.0,top
SW302,185.9,-66.55,0.0,top
SW303,166.8,-64.1,0.0,top
SW304,147.8,-61.3,0.0,top
SW305,128.7,-64.0,0.0,top
SW306,109.7,-68.9,0.0,top
SW307,90.6,-68.9,0.0,top
SW308,90.675441,-88.004854,0.0,top
SW309,109.725441,-88.004854,0.0,top
SW310,185.9,-85.6,0.0,top
SW311,166.8,-83.15,0.0,top
SW312,147.8,-80.6,0.0,top
SW313,128.7,-83.1,0.0,top
SW314,90.6,-107.15,0.0,top
SW315,109.7,-107.0,0.0,top
SW316,128.7,-102.1,0.0,top
SW317,147.8,-99.6,0.0,top
SW318,185.9,-104.6,0.0,top
SW319,166.8,-102.1,0.0,top
SW320,90.6,-126.1,0.0,top
SW321,109.725441,-126.104854,0.0,top
SW322,128.775441,-121.204854,0.0,top
SW323,147.825441,-118.704854,0.0,top
SW324,166.875441,-121.204854,0.0,top
SW325,185.925441,-123.704854,0.0,top
SW326,128.775441,-140.254854,0.0,top
SW327,147.825441,-137.754854,0.0,top
SW328,166.875441,-140.254854,0.0,top
SW329,188.875441,-144.954854,345.0,top
SW330,209.765441,-149.954854,60.0,top
SW331,215.925,-129.2,180.0,top
TH301,157.109999,-92.4,180.0,top
TH302,157.1,-92.4,0.0,bottom
U301,196.5,-77.0,270.0,top
U302,196.5,-96.5,270.0,top
U303,196.5,-114.938,270.0,top
U304,196.5,-134.8,270.0,top
