Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C6, C7",0402,6,1n,
"C10, C8",0402,2,10u,
"C11, C9",0402,2,1u,
C12,0402,1,10n,
J1,GCT_FFC2B28-12-G,1,FFC2B28-12-G,
"L1, L2, L3, L4, L5, L6",COIL_PCB,6,PCB_COIL,
"R1, R2",0402,2,5k1,
"R3, R4",0402,2,10k,
"TP1, TP10, TP11, TP12, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,12,GND,
U1,WQFN-16-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,LDC1614,
U2,WSON-12-1EP_4x4mm_P0.5mm_EP2.6x3mm,1,LDC1612,
X1,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm,1,ASV-40.000MHz,
