Designator,Mid X,Mid Y,Rotation,Layer
C1,141.5,-113.5,0.0,bottom
C10,120.3,-103.2,270.0,bottom
C11,121.3,-103.2,270.0,bottom
C12,121.5,-114.2,90.0,bottom
C2,128.0,-113.5,0.0,bottom
C3,147.1,-95.1,270.0,bottom
C4,147.1,-97.2,270.0,bottom
C6,122.8,-97.7,90.0,bottom
C7,122.4,-93.9,90.0,bottom
C8,148.9,-113.7,0.0,bottom
C9,148.92,-114.7,0.0,bottom
J1,134.661162,-73.776876,180.0,bottom
L1,141.0,-122.5375,90.0,bottom
L2,127.5,-122.5375,90.0,bottom
L3,149.9,-85.4,270.0,bottom
L4,156.2,-97.7,0.0,bottom
L5,113.4625,-96.7,180.0,bottom
L6,120.7,-85.3625,270.0,bottom
R1,150.9,-110.1,270.0,bottom
R2,123.2,-107.9,0.0,bottom
R3,135.2,-86.6,90.0,bottom
R4,137.1,-86.6,90.0,bottom
U1,147.2,-110.3,315.0,bottom
U2,124.0,-103.1,90.0,bottom
X1,117.3,-112.3,90.0,bottom
